_id,AnimalID,AnimalName,AnimalType,PrimaryColor,SecondaryColor,PrimaryBreed,Sex,DOB,Age,IntakeDate,IntakeCondition,IntakeType,IntakeSubtype,IntakeReason,OutcomeDate,OutcomeType,OutcomeSubtype,OutcomeCondition,Crossing,Jurisdiction,LastUpdate
454,A1387979,,CAT,TABBY-BRN,,DOMESTIC SH,FEMALE,2025-04-23,5 MONTHS,2025-07-08,HEALTHY,STRAY,OTC,,2025-07-14,TRANSFER,,HEALTHY,AMES AVE/MADDIES WAY,MILPITAS,2025-07-14
455,A1387980,,CAT,TABBY-BRN,,DOMESTIC SH,FEMALE,2025-04-23,5 MONTHS,2025-07-08,HEALTHY,STRAY,OTC,,2025-07-14,TRANSFER,,HEALTHY,AMES AVE/MADDIES WAY,MILPITAS,2025-07-14
456,A1387981,,CAT,GRAY,,DOMESTIC SH,FEMALE,2025-04-23,5 MONTHS,2025-07-08,HEALTHY,STRAY,OTC,,2025-07-14,TRANSFER,,HEALTHY,AMES AVE/MADDIES WAY,MILPITAS,2025-07-14
457,A1387982,,CAT,BLACK,,DOMESTIC SH,FEMALE,2025-04-23,5 MONTHS,2025-07-08,HEALTHY,STRAY,OTC,,2025-07-14,TRANSFER,,HEALTHY,AMES AVE/MADDIES WAY,MILPITAS,2025-07-14
458,A1387988,,CAT,BLACK,,DOMESTIC SH,UNKNOWN,2025-07-07,10 WEEKS,2025-07-08,NURSING,STRAY,OTC,,2025-07-27,RESCUE,,NURSING,MONMOUTH DR/ASHLAND DR,MILPITAS,2025-07-27
459,A1387989,,CAT,BLACK,,DOMESTIC SH,UNKNOWN,2025-07-07,10 WEEKS,2025-07-08,NURSING,STRAY,OTC,,2025-07-27,RESCUE,,NURSING,MONMOUTH DR/ASHLAND DR,MILPITAS,2025-07-27
460,A1387990,,CAT,BLACK,,DOMESTIC SH,UNKNOWN,2025-07-07,10 WEEKS,2025-07-08,NURSING,STRAY,OTC,,2025-07-27,RESCUE,,NURSING,MONMOUTH DR/ASHLAND DR,MILPITAS,2025-07-27
461,A1387991,,CAT,BLACK,,DOMESTIC SH,UNKNOWN,2025-07-07,10 WEEKS,2025-07-08,NURSING,STRAY,OTC,,2025-07-27,RESCUE,,NURSING,MONMOUTH DR/ASHLAND DR,MILPITAS,2025-07-27
462,A1387992,,CAT,BLACK,,DOMESTIC SH,UNKNOWN,2025-07-07,10 WEEKS,2025-07-08,NURSING,STRAY,OTC,,2025-07-27,RESCUE,,NURSING,MONMOUTH DR/ASHLAND DR,MILPITAS,2025-07-27
463,A1387994,,CAT,BLACK,,DOMESTIC SH,UNKNOWN,2025-07-07,1 DAY,2025-07-08,NURSING,STRAY,OTC,,2025-07-08,DIED,,NURSING,MONMOUTH DR/ASHLAND DR,MILPITAS,2025-07-08
464,A1387995,,CAT,BLACK,WHITE,DOMESTIC SH,MALE,2025-05-08,4 MONTHS,2025-07-08,HEALTHY,STRAY,OTC,,2025-07-17,RESCUE,,HEALTHY,HURSTGLEN WAY/EADLEHURST DR,SAN JOSE,2025-07-17
465,A1387996,,CAT,BLACK,,DOMESTIC SH,UNKNOWN,2025-07-07,5 WEEKS,2025-07-08,DEAD,DISPO REQ,OTC,,2025-07-08,DISPOSAL,,DEAD,MONMOUTH DR/ASHLAND DR,MILPITAS,2025-08-13
466,A1387997,,CAT,TABBY-BRN,WHITE,DOMESTIC SH,FEMALE,2025-05-08,4 MONTHS,2025-07-08,HEALTHY,STRAY,OTC,,2025-07-17,RESCUE,,HEALTHY,HURSTGLEN WAY/EADLEHURST DR,SAN JOSE,2025-07-17
467,A1387998,,CAT,BLACK,,DOMESTIC SH,NEUTERED,2025-05-01,4 MONTHS,2025-07-08,HEALTHY,STRAY,OTC,,2025-07-19,RTF,,FERAL,GETTYSBURG X CANTON DR,SAN JOSE,2025-07-19
468,A1387999,,CAT,BLACK,,DOMESTIC SH,NEUTERED,2025-05-01,4 MONTHS,2025-07-08,HEALTHY,STRAY,OTC,,2025-07-19,RTF,,FERAL,GETTYSBURG X CANTON DR,SAN JOSE,2025-07-19
469,A1388000,,CAT,TABBY-ORG,,DOMESTIC SH,NEUTERED,,NO AGE,2025-07-08,MED R,STRAY,OTC,,2025-07-16,RTF,,BEH M,ARIZONA AVE/DIXON RD,MILPITAS,2025-07-16
470,A1388001,,CAT,PT-SEAL,WHITE,DOMESTIC SH,MALE,2018-07-08,7 YEARS,2025-07-08,MED SEV,STRAY,OTC,,2025-07-08,EUTH,,MED SEV,STORY AND KING,SAN JOSE,2025-07-08
471,A1388002,,CAT,BLACK,,DOMESTIC SH,MALE,2025-06-08,14 WEEKS,2025-07-08,MED SEV,STRAY,FIELD,,2025-07-08,RESCUE,,MED SEV,2700 BLK,SAN JOSE,2025-07-08
472,A1388003,,CAT,BLACK,,DOMESTIC SH,MALE,2016-07-08,9 YEARS,2025-07-08,MED SEV,STRAY,FIELD,,2025-07-08,EUTH,,MED SEV,VILLAGE OAKS DR / COTTLE RD,SAN JOSE,2025-07-08
473,A1388004,,CAT,TORBI-BRN,,DOMESTIC SH,FEMALE,2023-07-08,2 YEARS,2025-07-08,MED SEV,STRAY,OTC,,2025-07-10,EUTH,,MED SEV,KELDON DR/MCLAUGHLIN AVE,SAN JOSE,2025-07-10
474,A1388005,,CAT,TABBY-ORG,,DOMESTIC SH,SPAYED,,NO AGE,2025-07-08,PREGNANT,STRAY,OTC,,2025-07-11,RTF,,FERAL,LUCRETIA AVE/STORY RD,SAN JOSE,2025-07-11
475,A1388008,,BIRD,BLACK,WHITE,GOOSE,UNKNOWN,,NO AGE,2025-07-08,DEAD,DISPO REQ,FIELD,,2025-07-08,DISPOSAL,,DEAD,CAPITOL / SNELL,SAN JOSE,2025-07-08
476,A1388010,,CAT,TABBY-GRAY,WHITE,DOMESTIC SH,NEUTERED,2025-04-15,5 MONTHS,2025-07-08,MED SEV,STRAY,OTC,,2025-08-10,ADOPTION,,MED R,WINTERPARK WAY/CUNNINGHAM AVE,SAN JOSE,2025-08-10
477,A1388011,,CAT,WHITE,BLACK,DOMESTIC SH,FEMALE,2025-07-06,2 WEEKS,2025-07-08,NURSING,STRAY,OTC,,2025-07-21,EUTH,,NURSING,SALEM AVE/ALPINE DR,CUPERTINO,2025-07-21
478,A1388012,,DOG,WHITE,BLACK,BULL TERRIER,MALE,2021-07-08,4 YEARS,2025-07-08,HEALTHY,STRAY,OTC,,2025-07-09,RTO,,HEALTHY,2700 BLOCK MONTEREY RD,SAN JOSE,2025-07-09
479,A1388013,,CAT,WHITE,TABBY-BRN,DOMESTIC SH,MALE,2025-07-06,2 WEEKS,2025-07-08,NURSING,STRAY,OTC,,2025-07-18,DIED,,MED SEV,SALEM AVE/ALPINE DR,CUPERTINO,2025-07-24
480,A1388014,,CAT,BLACK,WHITE,DOMESTIC SH,FEMALE,2025-07-06,5 WEEKS,2025-07-08,NURSING,STRAY,OTC,,2025-07-23,DIED,,NURSING,SALEM AVE/ALPINE DR,CUPERTINO,2025-08-13
481,A1388015,,CAT,BLACK,WHITE,DOMESTIC SH,FEMALE,2025-07-06,1 WEEKS,2025-07-08,NURSING,STRAY,OTC,,2025-07-15,EUTH,,NURSING,SALEM AVE/ALPINE DR,CUPERTINO,2025-07-15
482,A1388016,,CAT,TABBY-BRN,WHITE,DOMESTIC SH,FEMALE,2025-07-06,4 DAYS,2025-07-08,NURSING,STRAY,OTC,,2025-07-10,EUTH,,MED SEV,SALEM AVE/ALPINE DR,CUPERTINO,2025-07-10
483,A1388017,IGNACIO,DOG,TAN,,CHIHUAHUA SH,NEUTERED,2022-07-08,3 YEARS,2025-07-08,MED M,STRAY,OTC,,2025-07-17,ADOPTION,,HEALTHY,ELLA DR X ELLA CT,SAN JOSE,2025-07-17
484,A1388019,CHILI,DOG,RED,WHITE,CHIHUAHUA SH,SPAYED,2021-07-08,4 YEARS,2025-07-08,BEH U,STRAY,FIELD,,2025-07-22,ADOPTION,,HEALTHY,ADRIAN WAY / ALFRED,SAN JOSE,2025-07-22
485,A1388020,,DOG,WHITE,,CHIHUAHUA SH,MALE,2023-07-08,2 YEARS,2025-07-08,BEH U,STRAY,FIELD,,2025-07-17,TRANSFER,,BEH U,ADRIAN WAY / ALFRED,SAN JOSE,2025-07-17
486,A1388023,,DOG,CREAM,,DACHSHUND,MALE,2024-07-09,1 YEAR 2 MONTHS,2025-07-08,BEH U,STRAY,FIELD,,2025-07-17,RESCUE,,BEH U,ADRIAN WAY / ALFRED,SAN JOSE,2025-07-17
487,A1388025,,DOG,CREAM,WHITE,DACHSHUND,FEMALE,2023-07-08,2 YEARS,2025-07-08,BEH U,STRAY,FIELD,,2025-07-17,RESCUE,,BEH U,ADRIAN WAY / ALFRED,SAN JOSE,2025-07-17
488,A1388028,,CAT,GRAY,,DOMESTIC SH,UNKNOWN,2025-04-08,4 MONTHS,2025-07-08,MED SEV,STRAY,OTC,,2025-07-08,EUTH,,MED SEV,PERRY ST/ CANTON DR,MILPITAS,2025-08-13
489,A1388029,,CAT,BLACK,,DOMESTIC MH,UNKNOWN,,NO AGE,2025-07-08,MED SEV,STRAY,OTC,,2025-07-08,EUTH,,MED SEV,PIETRO DR/LEDERER CIR,SAN JOSE,2025-08-13
490,A1388030,,CAT,CALICO-TRI,,DOMESTIC SH,UNKNOWN,,NO AGE,2025-07-08,DEAD,DISPO REQ,OTC,,2025-07-08,DISPOSAL,,DEAD,MACKIN WOODS LN/PINOT BLANC WAY,SAN JOSE,2025-07-08
491,A1388036,,OTHER,GRAY,BLACK,RACCOON,UNKNOWN,,NO AGE,2025-07-08,DEAD,DISPO REQ,OTC,,2025-07-08,DISPOSAL,,DEAD,SB 85 N/O BLOSSOM,SAN JOSE,2025-07-08
492,A1388039,,OTHER,BLACK,GRAY,RACCOON,UNKNOWN,,NO AGE,2025-07-08,DEAD,DISPO REQ,FIELD,,2025-07-08,DISPOSAL,,DEAD,DEEP CLIFFE DR/ CARNOUSTIE CT,CUPERTINO,2025-07-24
493,A1388040,,CAT,WHITE,,DOMESTIC SH,UNKNOWN,,NO AGE,2025-07-08,DEAD,DISPO REQ,OTC,,2025-07-08,DISPOSAL,,DEAD,BLOSSOM HILL RD/GALLUP DR,SAN JOSE,2025-07-08
494,A1388044,,CAT,BLACK,,DOMESTIC SH,UNKNOWN,2024-07-24,1 YEAR,2025-07-08,DEAD,DISPO REQ,FIELD,,2025-07-08,DISPOSAL,,DEAD,SADDLE BROOK DR / MARJOHN BLVD,SAN JOSE,2025-07-08
495,A1388045,,CAT,TABBY-BRN,WHITE,DOMESTIC SH,SPAYED,2024-07-08,1 YEAR 2 MONTHS,2025-07-08,PREGNANT,STRAY,OTC,,2025-07-11,RTF,,FERAL,ENSIGN WAY/ JACKSON AVE,SAN JOSE,2025-08-13
496,A1388046,MAMAS,DOG,BLACK,BROWN,MIN PINSCHER,SPAYED,2022-07-08,3 YEARS,2025-07-08,HEALTHY,STRAY,FIELD,,2025-07-10,RTO,,HEALTHY,W TAYLOR,SAN JOSE,2025-07-10
497,A1388047,OZZIE,DOG,BLACK,BROWN,GERM SHEPHERD,NEUTERED,2022-07-08,3 YEARS,2025-07-08,HEALTHY,STRAY,FIELD,,2025-07-23,ADOPTION,,HEALTHY,W TAYLOR,SAN JOSE,2025-07-26
498,A1388050,,CAT,TABBY-BRN,WHITE,DOMESTIC SH,MALE,2025-05-27,16 WEEKS,2025-07-08,MED R,STRAY,OTC,,,,,,DIADEM DR,SAN JOSE,2025-07-08
499,A1388051,,CAT,WHITE,TABBY-BRN,DOMESTIC SH,MALE,2025-05-27,16 WEEKS,2025-07-08,MED R,STRAY,OTC,,,,,,DIADEM DR,SAN JOSE,2025-08-11
500,A1388057,,CAT,TABBY-ORG,WHITE,DOMESTIC SH,UNKNOWN,,NO AGE,2025-07-08,DEAD,DISPO REQ,OTC,,2025-07-08,DISPOSAL,,DEAD,POUGHKEEPSIE RD,SAN JOSE,2025-07-08
501,A1388058,,DOG,BROWN,,GERM SHEPHERD,MALE,2025-07-05,11 WEEKS,2025-07-08,NURSING,STRAY,OTC,,2025-08-04,TRANSFER,,NURSING,EDENVALE AVE/SADDLEBROOK DR,SAN JOSE,2025-08-04
502,A1388059,,DOG,BROWN,,GERM SHEPHERD,MALE,2025-07-05,11 WEEKS,2025-07-08,NURSING,STRAY,OTC,,2025-08-04,TRANSFER,,NURSING,EDENVALE AVE/SADDLEBROOK DR,SAN JOSE,2025-08-04
503,A1388060,,DOG,BROWN,,GERM SHEPHERD,FEMALE,2025-07-05,11 WEEKS,2025-07-08,NURSING,STRAY,OTC,,2025-08-04,TRANSFER,,NURSING,EDENVALE AVE/SADDLEBROOK DR,SAN JOSE,2025-08-04
504,A1388061,,DOG,BROWN,,GERM SHEPHERD,MALE,2025-07-05,11 WEEKS,2025-07-08,NURSING,STRAY,OTC,,2025-08-04,TRANSFER,,NURSING,EDENVALE AVE/SADDLEBROOK DR,SAN JOSE,2025-08-04
505,A1388062,,DOG,BROWN,,GERM SHEPHERD,FEMALE,2025-07-05,11 WEEKS,2025-07-08,NURSING,STRAY,OTC,,2025-08-04,TRANSFER,,NURSING,EDENVALE AVE/SADDLEBROOK DR,SAN JOSE,2025-08-04
506,A1388063,,DOG,BROWN,,GERM SHEPHERD,FEMALE,2025-07-05,11 WEEKS,2025-07-08,NURSING,STRAY,OTC,,2025-08-04,TRANSFER,,NURSING,EDENVALE AVE/SADDLEBROOK DR,SAN JOSE,2025-08-04
507,A1388064,,DOG,BROWN,,GERM SHEPHERD,FEMALE,2025-07-05,11 WEEKS,2025-07-08,NURSING,STRAY,OTC,,2025-08-04,TRANSFER,,NURSING,EDENVALE AVE/SADDLEBROOK DR,SAN JOSE,2025-08-04
508,A1388065,,DOG,BROWN,,GERM SHEPHERD,MALE,2025-07-05,11 WEEKS,2025-07-08,NURSING,STRAY,OTC,,2025-08-04,TRANSFER,,NURSING,EDENVALE AVE/SADDLEBROOK DR,SAN JOSE,2025-08-04
509,A1388066,,DOG,BROWN,,GERM SHEPHERD,MALE,2025-07-05,11 WEEKS,2025-07-08,NURSING,STRAY,OTC,,2025-08-04,TRANSFER,,NURSING,EDENVALE AVE/SADDLEBROOK DR,SAN JOSE,2025-08-04
510,A1388067,,DOG,BROWN,,GERM SHEPHERD,MALE,2025-07-05,11 WEEKS,2025-07-08,NURSING,STRAY,OTC,,2025-08-04,TRANSFER,,NURSING,EDENVALE AVE/SADDLEBROOK DR,SAN JOSE,2025-08-04
511,A1388075,MONKEY,DOG,TAN,BLACK,ANATOL SHEPHERD,SPAYED,2020-07-09,5 YEARS,2025-07-08,BEH M,STRAY,FIELD,,2025-08-23,ADOPTION,,HEALTHY,MONTEREY X CHENOWYTH,SAN JOSE,2025-08-23
512,A1388077,TRAP 1,CAT,WHITE,,DOMESTIC SH,NEUTERED,,NO AGE,2025-07-09,FERAL,S/N CLINIC,FERAL,,2025-07-09,RTF,,FERAL,,,2025-07-09
513,A1388078,TRAP 2,CAT,TABBY-GRAY,,DOMESTIC SH,SPAYED,,NO AGE,2025-07-09,FERAL,S/N CLINIC,FERAL,,2025-07-09,RTF,,FERAL,,,2025-07-09
514,A1388079,TRAP 3,CAT,ORANGE,,DOMESTIC SH,SPAYED,,NO AGE,2025-07-09,FERAL,S/N CLINIC,FERAL,,2025-07-09,RTF,,FERAL,,,2025-07-09
515,A1388080,TRAP 4,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,,NO AGE,2025-07-09,FERAL,S/N CLINIC,FERAL,,2025-07-09,RTF,,FERAL,,,2025-07-09
516,A1388081,TRAP 5,CAT,ORANGE,,DOMESTIC SH,NEUTERED,,NO AGE,2025-07-09,FERAL,S/N CLINIC,FERAL,,2025-07-09,RTF,,FERAL,,,2025-07-09
517,A1388082,TRAP 6,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,,NO AGE,2025-07-09,FERAL,S/N CLINIC,FERAL,,2025-07-09,RTF,,FERAL,,,2025-07-09
518,A1388083,TRAP 7,CAT,TABBY-BRN,WHITE,DOMESTIC SH,SPAYED,2023-07-17,2 YEARS,2025-07-09,FERAL,S/N CLINIC,FERAL,,2025-07-09,RTF,,FERAL,,,2025-07-09
519,A1388083,TRAP 7,CAT,TABBY-BRN,WHITE,DOMESTIC SH,SPAYED,2023-07-17,2 YEARS,2025-07-17,MED R,STRAY,OTC,,2025-07-22,RTF,,MED R,SHUMAKER WAY/DOXEY DR,SAN JOSE,2025-07-22
520,A1388084,TRAP 8,CAT,WHITE,GRAY,DOMESTIC SH,SPAYED,,NO AGE,2025-07-09,FERAL,S/N CLINIC,FERAL,,2025-07-09,RTF,,FERAL,,,2025-07-09
521,A1388085,TRAP 9,CAT,TABBY-GRAY,,DOMESTIC SH,SPAYED,,NO AGE,2025-07-09,FERAL,S/N CLINIC,FERAL,,2025-07-09,RTF,,FERAL,,,2025-07-09
522,A1388086,TRAP 10,CAT,BLACK,WHITE,DOMESTIC SH,SPAYED,,NO AGE,2025-07-09,FERAL,S/N CLINIC,FERAL,,2025-07-09,RTF,,FERAL,,,2025-07-09
523,A1388087,TRAP 11,CAT,TABBY-GRAY,,DOMESTIC SH,NEUTERED,,NO AGE,2025-07-09,FERAL,S/N CLINIC,FERAL,,2025-07-09,RTF,,FERAL,,,2025-07-09
524,A1388088,TRAP 12,CAT,TABBY-GRAY,,DOMESTIC SH,SPAYED,,NO AGE,2025-07-09,FERAL,S/N CLINIC,FERAL,,2025-07-09,RTF,,FERAL,,,2025-07-09
525,A1388089,PRINCESS TROUBLES,DOG,BLACK,BROWN,PIT BULL,SPAYED,2025-02-09,7 MONTHS,2025-07-09,HEALTHY,SPAY,OWNED,,2025-07-09,SPAY,,HEALTHY,,SAN JOSE,2025-08-20
526,A1388090,TRAP 13,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,,NO AGE,2025-07-09,FERAL,S/N CLINIC,FERAL,,2025-07-09,RTF,,FERAL,,MILPITAS,2025-07-09
527,A1388091,TRAP 14,CAT,GRAY,,DOMESTIC SH,SPAYED,,NO AGE,2025-07-09,FERAL,S/N CLINIC,FERAL,,2025-07-09,RTF,,FERAL,,SAN JOSE,2025-07-09
528,A1388092,TRAP 15,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,,NO AGE,2025-07-09,FERAL,S/N CLINIC,FERAL,,2025-07-09,RTF,,FERAL,,SAN JOSE,2025-07-09
529,A1388093,TRAP 16,CAT,BLACK,,DOMESTIC SH,UNKNOWN,,NO AGE,2025-07-09,FERAL,S/N CLINIC,FERAL,,2025-07-09,RTF,,FERAL,,SAN JOSE,2025-07-09
530,A1388094,TRAP 17,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,,NO AGE,2025-07-09,FERAL,S/N CLINIC,FERAL,,2025-07-09,RTF,,FERAL,,SAN JOSE,2025-07-09
531,A1388095,TRAP 18,CAT,BLACK,,DOMESTIC SH,NEUTERED,,NO AGE,2025-07-09,FERAL,S/N CLINIC,FERAL,,2025-07-09,RTF,,FERAL,,SAN JOSE,2025-07-09
532,A1388096,TRAP 19,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,,NO AGE,2025-07-09,FERAL,S/N CLINIC,FERAL,,2025-07-09,RTF,,FERAL,,SAN JOSE,2025-07-09
533,A1388097,TRAP 20,CAT,WHITE,GRAY,DOMESTIC SH,SPAYED,,NO AGE,2025-07-09,FERAL,S/N CLINIC,FERAL,,2025-07-09,RTF,,FERAL,,SAN JOSE,2025-07-09
534,A1388098,TRAP 21,CAT,TABBY-GRAY,,DOMESTIC SH,SPAYED,,NO AGE,2025-07-09,FERAL,S/N CLINIC,FERAL,,2025-07-09,RTF,,FERAL,,SAN JOSE,2025-07-09
535,A1388098,TRAP 21,CAT,TABBY-GRAY,,DOMESTIC SH,SPAYED,,NO AGE,2025-07-14,MED R,STRAY,OTC,,2025-07-16,RTF,,MED R,PFILIE AVE/SYLVANDALE AVE,SAN JOSE,2025-07-16
536,A1388099,TRAP 22,CAT,ORANGE,,DOMESTIC SH,SPAYED,,NO AGE,2025-07-09,FERAL,S/N CLINIC,FERAL,,2025-07-09,RTF,,FERAL,,SAN JOSE,2025-07-09
537,A1388100,TRAP 23,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,,NO AGE,2025-07-09,FERAL,S/N CLINIC,FERAL,,2025-07-09,RTF,,FERAL,,SAN JOSE,2025-07-09
538,A1388101,TRAP 24,CAT,TABBY-ORG,,DOMESTIC SH,SPAYED,,NO AGE,2025-07-09,FERAL,S/N CLINIC,FERAL,,2025-07-09,RTF,,FERAL,,SAN JOSE,2025-07-09
539,A1388102,TRAP 25,CAT,TABBY-GRAY,,DOMESTIC SH,SPAYED,,NO AGE,2025-07-09,FERAL,S/N CLINIC,FERAL,,2025-07-09,RTF,,FERAL,,,2025-07-09
540,A1388103,TRAP 26,CAT,BLACK,,DOMESTIC SH,SPAYED,,NO AGE,2025-07-09,FERAL,S/N CLINIC,FERAL,,2025-07-09,RTF,,FERAL,,,2025-07-09
541,A1388104,TRAP 27,CAT,BLACK,WHITE,DOMESTIC SH,NEUTERED,,NO AGE,2025-07-09,FERAL,S/N CLINIC,FERAL,,2025-07-09,RTF,,FERAL,,,2025-07-09
542,A1388105,TRAP 28,CAT,TABBY-GRAY,,DOMESTIC SH,SPAYED,,NO AGE,2025-07-09,FERAL,S/N CLINIC,FERAL,,2025-07-09,RTF,,FERAL,,,2025-07-09
543,A1388106,TRAP 29,CAT,TABBY-BUFF,,DOMESTIC SH,NEUTERED,,NO AGE,2025-07-09,FERAL,S/N CLINIC,FERAL,,2025-07-09,RTF,,FERAL,,,2025-07-09
544,A1388107,TRAP 30,CAT,TABBY-GRAY,,DOMESTIC SH,SPAYED,,NO AGE,2025-07-09,FERAL,S/N CLINIC,FERAL,,2025-07-09,RTF,,FERAL,,,2025-07-09
545,A1388108,TRAP 1,CAT,BLACK,,DOMESTIC SH,NEUTERED,,NO AGE,2025-07-10,FERAL,S/N CLINIC,FERAL,,2025-07-10,RTF,,FERAL,,MILPITAS,2025-07-10
546,A1388109,TRAP 1,CAT,CALICO-DIL,,DOMESTIC SH,SPAYED,,NO AGE,2025-07-16,FERAL,S/N CLINIC,FERAL,,2025-07-17,RTF,,FERAL,,,2025-07-17
547,A1388110,TRAP 2,CAT,BROWN,WHITE,DOMESTIC SH,SPAYED,,NO AGE,2025-07-09,FERAL,S/N CLINIC,FERAL,,2025-07-17,RTF,,FERAL,,,2025-07-17
548,A1388111,TRAP 3,CAT,TORTIE-B\O,,DOMESTIC SH,SPAYED,,NO AGE,2025-07-09,FERAL,S/N CLINIC,FERAL,,2025-07-16,RTF,,FERAL,,,2025-07-16
549,A1388112,SELEN,CAT,TABBY-GRAY,,DOMESTIC SH,SPAYED,2022-07-29,3 YEARS,2025-07-16,FERAL,S/N CLINIC,FERAL,,2025-07-16,RTF,,FERAL,,,2025-07-16
550,A1388112,SELEN,CAT,TABBY-GRAY,,DOMESTIC SH,SPAYED,2022-07-29,3 YEARS,2025-07-24,HEALTHY,OWNER SUR,OTC,,2025-08-17,ADOPTION,,HEALTHY,,SAN JOSE,2025-08-17
551,A1388113,TRAP 5,CAT,TABBY-GRAY,,DOMESTIC SH,SPAYED,,NO AGE,2025-07-16,FERAL,S/N CLINIC,FERAL,,2025-07-16,RTF,,FERAL,,,2025-07-16
552,A1388114,TRAP 6,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,,NO AGE,2025-07-16,FERAL,S/N CLINIC,FERAL,,2025-07-16,RTF,,FERAL,,SAN JOSE,2025-07-16
553,A1388115,,BIRD,GRAY,BLACK,GOOSE,UNKNOWN,,NO AGE,2025-07-09,DEAD,DISPO REQ,FIELD,,2025-07-09,DISPOSAL,,DEAD,2200 BLOCK QUIMBY RD,SAN JOSE,2025-07-09
554,A1388123,,CAT,BLACK,,DOMESTIC SH,UNKNOWN,2020-07-09,5 YEARS,2025-07-09,MED SEV,STRAY,FIELD,,2025-07-09,DIED,,MED EMERG,TIERRA BUENA DR X S KING RD,SAN JOSE,2025-07-09
555,A1388124,,OTHER,GRAY,BLACK,RACCOON,UNKNOWN,,NO AGE,2025-07-09,MED EMERG,WILDLIFE,FIELD,,2025-07-09,TRANSFER,,MED EMERG,1100 BLOCK SINGLETARY AVE,SAN JOSE,2025-07-09
556,A1388125,,OTHER,GRAY,BLACK,RACCOON,UNKNOWN,,NO AGE,2025-07-09,MED EMERG,WILDLIFE,FIELD,,2025-07-09,TRANSFER,,MED EMERG,18500 BLOCK DEVON,SARATOGA,2025-07-09
557,A1388126,,CAT,BLACK,,DOMESTIC MH,FEMALE,2025-05-19,4 MONTHS,2025-07-09,MED SEV,STRAY,FIELD,,2025-07-09,EUTH,,MED SEV,TOVAR DR/BOTHELL CIR,SAN JOSE,2025-09-16
558,A1388127,GHOST,CAT,WHITE,,DOMESTIC LH,NEUTERED,2022-07-09,3 YEARS,2025-07-09,MED R,STRAY,FIELD,IP ADOPT,2025-07-17,ADOPTION,,HEALTHY,WILLIAMS RD/S BAYWOOD AVE,SAN JOSE,2025-09-16
559,A1388128,,DOG,MERLE-BLUE,,POMERANIAN,MALE,2020-07-09,5 YEARS,2025-07-09,MED R,STRAY,FIELD,,2025-07-14,RESCUE,,MED R,S WHITE RD/MT MCKINLEY DR,SAN JOSE,2025-09-16
560,A1388129,,BIRD,BROWN,WHITE,FINCH,UNKNOWN,,NO AGE,2025-07-09,MED R,WILDLIFE,FIELD,,2025-07-09,TRANSFER,,MED R,2200 BLOCK WARFIELD WAY,SAN JOSE,2025-09-16
561,A1388130,KRYPTO,DOG,RED,WHITE,ALASKAN HUSKY,NEUTERED,2022-07-09,3 YEARS,2025-07-09,HEALTHY,STRAY,OTC,,2025-08-10,ADOPTION,,HEALTHY,BRANHAM X SNELL,SAN JOSE,2025-08-10
562,A1388131,CHAVA,CAT,TABBY-BRN,WHITE,DOMESTIC SH,NEUTERED,2025-05-01,4 MONTHS,2025-07-09,MED R,STRAY,OTC,,2025-08-06,ADOPTION,,MED R,SNELL AVE/EDGEWATER DR,SAN JOSE,2025-08-06
563,A1388132,,CAT,GRAY,BLACK,DOMESTIC SH,MALE,2024-07-24,1 YEAR,2025-07-09,DEAD,DISPO REQ,FIELD,,2025-07-09,DISPOSAL,,DEAD,SNELL AVE / EDGEWATER DR,SAN JOSE,2025-07-09
564,A1388139,BAGEL,DOG,BLACK,BROWN,ROTTWEILER,NEUTERED,2024-09-09,1 YEAR,2025-07-09,HEALTHY,STRAY,OTC,,2025-07-30,ADOPTION,,HEALTHY,YERBA BUENA RD/MCLAUGHLIN AVE,SAN JOSE,2025-07-30
565,A1388140,CHAYANNE,CAT,TABBY-GRAY,,DOMESTIC SH,NEUTERED,2025-05-15,4 MONTHS,2025-07-09,HEALTHY,STRAY,OTC,,2025-07-16,ADOPTION,,HEALTHY,ASHDALE X JERILYN,SAN JOSE,2025-07-16
566,A1388141,,OTHER,BROWN,,SQUIRREL,UNKNOWN,,NO AGE,2025-07-09,DEAD,DISPO REQ,FIELD,,2025-07-09,DISPOSAL,,DEAD,PENITNECIA CREEK/STONECREST,SAN JOSE,2025-07-09
567,A1388142,COCO,CAT,TABBY-BRN,,DOMESTIC SH,SPAYED,2025-05-25,4 MONTHS,2025-07-09,HEALTHY,STRAY,OTC,,2025-08-01,ADOPTION,,HEALTHY,MARIST CT/CHESAPEAKE CIR,SAN JOSE,2025-08-01
568,A1388143,WHISKER,CAT,TABBY-BRN,,DOMESTIC SH,NEUTERED,2025-05-25,4 MONTHS,2025-07-09,HEALTHY,STRAY,OTC,,2025-08-01,ADOPTION,,HEALTHY,MARIST CT/CHESAPEAKE CIR,SAN JOSE,2025-08-01
